,Year,Content,One line,Five lines
38,1972,"Italy comes aboard
The start-up of A.A. in Italy is said to be 1972, when a small group of Americans meeting in Rome is joined by locals Giovanni and Ermanno. Assisted by some of the Americans, the two men soon join with Carol C. to form the first known Italian-speaking A.A. group. Two years later, a group will be founded in Florence, and Milan will follow suit in 1976. In 1978, representatives of several groups meet to start negotiations with G.S.O. New York for the sponsorship of the publication of Il Grande Libro (the Big Book), which is already being translated into Italian. They succeed, and Alcolisti Anonimi (droit) is published in 1980.","['Assisted by some of the Americans, the two men soon join with Carol C. to form the first known Italian-speaking A.A. group.']","['Italy comes aboard\nThe start-up of A.A. in Italy is said to be 1972, when a small group of Americans meeting in Rome is joined by locals Giovanni and Ermanno.', 'Assisted by some of the Americans, the two men soon join with Carol C. to form the first known Italian-speaking A.A. group.', 'Two years later, a group will be founded in Florence, and Milan will follow suit in 1976.', 'In 1978, representatives of several groups meet to start negotiations with G.S.O. New York for the sponsorship of the publication of Il Grande Libro (the Big Book), which is already being translated into Italian.']"
39,1973,"Big Book distribution reaches one million
The one millionth copy of Alcoholics Anonymous, A.A.'s Big Book, is presented to President Richard Nixon in a ceremony at the White House.

Bangkok’s first known meetings
In Bangkok in 1971, two Americans of Irish descent — Jim L., a businessman with three years of sobriety, and Evelyn K., wife of a civil engineer under contract in Bangkok — team up to form an A.A. group. The next year they are joined by Jack B., a Redemptorist priest. In 1973, the three move their meetings from Evelyn’s apartment to the Holy Redeemer Rectory and welcome new member Joanne — the wife of an American Embassy official — and George, a German-born U.S. military member. The stabilization of the Bangkok group soon gives rise to the founding of A.A. groups in Ubon and other Thai cities.

Lois’s round-the-world trip
In an echo of their 1950 visit to Europe, Lois W. sets out on a nine-week trip around the world a year after Bill’s death. Her traveling companion is Evelyn C., an early volunteer at the Al-Anon Clearing House and later a staff member at the Al-Anon World Service Office. During their journey the women meet with members of A.A. and Al-Anon in South Africa, Australia, New Zealand, Hong Kong, Tokyo, and Honolulu. (Shown to the right is a gift later presented to Lois, the Serenity Prayer in Japanese.) In Lois Remembers, Lois will write that “Seeing and feeling the loving devotion and oneness of A.A. and Al-Anon around the world did much to submerge in an overwhelming sea of gratitude my sense of personal loss.""

Musings from members
Came to Believe, a 120-page booklet published in 1973 by A.A., is a collection of stories by members who tell in their own words what significance the phrase “spiritual awakening” holds for them. One story describes, “I began to see another part of me emerging — a grateful me, expecting nothing, but sure that another power was beginning to guide me, counsel me, and direct my ways.”

Intergroups in Wales
The first known group in Wales was founded in Abergavenny in 1963. Until then most alcoholics who wanted to attend A.A. meetings had to cross the border into England. A decade later, the Welsh Borders Intergroup is founded to link groups on both sides of the border (shown at right are the towns where the groups meet). An intergroup has also been established in South Wales—the Cymraig Intergroup, composed of groups in Cardiff, Swansea, Llanelli, and Newport.","['Bangkok’s first known meetings\nIn Bangkok in 1971, two Americans of Irish descent — Jim L., a businessman with three years of sobriety, and Evelyn K., wife of a civil engineer under contract in Bangkok — team up to form an A.A. group.']","['Bangkok’s first known meetings\nIn Bangkok in 1971, two Americans of Irish descent — Jim L., a businessman with three years of sobriety, and Evelyn K., wife of a civil engineer under contract in Bangkok — team up to form an A.A. group.', 'The stabilization of the Bangkok group soon gives rise to the founding of A.A. groups in Ubon and other Thai cities.', 'Her traveling companion is Evelyn C., an early volunteer at the Al-Anon Clearing House and later a staff member at the Al-Anon World Service Office.', 'During their journey the women meet with members of A.A. and Al-Anon in South Africa, Australia, New Zealand, Hong Kong, Tokyo, and Honolulu.', 'In Lois Remembers, Lois will write that “Seeing and feeling the loving devotion and oneness of A.A. and Al-Anon around the world did much to submerge in an overwhelming sea of gratitude my sense of personal loss.""']"
40,1974,"Poland’s first steps
A group of alcoholics who have been meeting with physicians and therapists since the mid-1960s in the city of Poznan decide in 1974 to meet on their own and follow the principles of A.A. (Earlier meetings had been organized by therapist Maria Grabowska, who had tried to have the Twelve Traditions and Twelve Steps published in Polish newspapers but was thwarted by the censorship office.) Led by Rajmund F., a Pole who became sober in 1973 and was fluent enough in English and German to translate A.A. literature, the group takes the name Eleusis, after the ancient Greek city the Roman Emperors favored as sanctuary. Growth accelerates, and by June 1985 almost 100 groups will be meeting across the country. The decorative plate shown above was presented to G.S.O. New York by grateful Polish members.

A vote in Uruguay
Pablo L., an actor, undergoes detoxification at Montevideo’s Clinica del Prado in 1966, is given a copy of the Big Book, and in turn seeks out an A.A. group to join. The closest is in Buenos Aires, where he frequents A.A. meetings during an extended stay. Returning home, he visits hospitals to carry the message. He then founds ADEA (for Amigos del Enfermo Alcohólico, or friends of the alcoholic patient), where alcoholics and their families share experiences. While some aspects of the A.A. program are used, others—including anonymity—are rejected. After A.A. Argentina urges ADEA to follow all A.A. Traditions and to take the Fellowship’s name, the issue is put to a vote. The ayes have it, and on March 18, 1974, the first known Uruguayan meeting of A.A. is held in Montevideo.","['Poland’s first steps\nA group of alcoholics who have been meeting with physicians and therapists since the mid-1960s in the city of Poznan decide in 1974 to meet on their own and follow the principles of A.A. (Earlier meetings had been organized by therapist Maria Grabowska, who had tried to have the Twelve Traditions and Twelve Steps published in Polish newspapers but was thwarted by the censorship office.)']","['Poland’s first steps\nA group of alcoholics who have been meeting with physicians and therapists since the mid-1960s in the city of Poznan decide in 1974 to meet on their own and follow the principles of A.A. (Earlier meetings had been organized by therapist Maria Grabowska, who had tried to have the Twelve Traditions and Twelve Steps published in Polish newspapers but was thwarted by the censorship office.)', 'Led by Rajmund F., a Pole who became sober in 1973 and was fluent enough in English and German to translate A.A. literature, the group takes the name Eleusis, after the ancient Greek city the Roman Emperors favored as sanctuary.', 'A vote in Uruguay\nPablo L., an actor, undergoes detoxification at Montevideo’s Clinica del Prado in 1966, is given a copy of the Big Book, and in turn seeks out an A.A. group to join.', 'After A.A. Argentina urges ADEA to follow all A.A. Traditions and to take the Fellowship’s name, the issue is put to a vote.', 'The ayes have it, and on March 18, 1974, the first known Uruguayan meeting of A.A. is held in Montevideo.']"
41,1975,"Delegates descend on Denver
“Let It Begin With Me” is the theme of the Fellowship’s 40th Anniversary International Convention, held in Denver, Colorado in 1975. Some 19,500 attendees stream into the city, and Host Committee members register arrivals at the rate of 400 per hour. At the formal opening session, a replica of the Big Book dominates the dais and gives new meaning to the word “big.” It is 28 feet tall. Living Sober is published
In 1975, A.A. published Living Sober, a book of member experiences that describes methods of living without drinking. The material for the book was gathered in the early 1970s from group and individual correspondence of shared experience, then writers compiled it into a book. The book becomes a popular addition to A.A. literature.

A new beginning in Portugal
English-speaking groups in Portugal had met as early as 1956 in Lisbon and 1959 at Lajes Air Force Base in the nearby Azores. Yet A.A. doesn’t take root in the country until 1975, when American Ed A. returns from rehabilitation in the United States and begins spreading the A.A. message in hospitals. As a result, Portuguese-speaking groups are founded in Lisbon, Oporto, and Algarve. Aiding the growth and stability of the groups is Portuguese-language A.A. literature sent by A.A. Brazil.

A.A. Archives open at General Service Office
In November 1975, Lois W. and Tom S. of Jacksonville, Florida (a trustee who chairs the archives committee), cut a blue ribbon to officially open the A.A. Archives at G.S.O. New York. In a brief speech, Dr. John L. Norris points out that A.A. must continually renew itself by going back to its source, recalling Bill W.’s frequent request that the Board and G.S.O. “should put everything they do on the record.” The archivist is nonalcoholic Nell Wing (right), who served as Bill’s secretary for many years and is described as a “one-woman walking encyclopedia of A.A. lore.”

A.A. in Jerusalem
With the aid of Canadian A.A. members who are part of the UN forces in the Middle East, the Shalom Group is formed in Jerusalem in 1975. The next year, member Jay S. reports to G.S.O. New York that twice-weekly A.A. meetings are being held in Tel Aviv as well as Jerusalem, in both English and Hebrew. The Shalom Group will also host a two-day convention to celebrate the first anniversary of A.A. in Israel. Shown above right are A.A. pamphlets in Hebrew and Arabic.","['The next year, member Jay S. reports to G.S.O. New York that twice-weekly A.A. meetings are being held in Tel Aviv as well as Jerusalem, in both English and Hebrew.']","['Living Sober is published\nIn 1975, A.A. published Living Sober, a book of member experiences that describes methods of living without drinking.', 'A.A. Archives open at General Service Office\nIn November 1975, Lois W. and Tom S. of Jacksonville, Florida (a trustee who chairs the archives committee), cut a blue ribbon to officially open the A.A. Archives at G.S.O. New York.', 'A.A. in Jerusalem\nWith the aid of Canadian A.A. members who are part of the UN forces in the Middle East, the Shalom Group is formed in Jerusalem in 1975.', 'The next year, member Jay S. reports to G.S.O. New York that twice-weekly A.A. meetings are being held in Tel Aviv as well as Jerusalem, in both English and Hebrew.', 'The Shalom Group will also host a two-day convention to celebrate the first anniversary of A.A. in Israel.']"
42,1976,"Fast-forward in Iceland
Though the Reykjavik Group had been meeting in Iceland since 1954, a breakthrough occurs in the early 1970s, when a government-sponsored program begins flying alcoholics to the U.S. for help on a regular basis. Almost invariably they return eager to carry the A.A. message, leading to the 1976 publication of the Big Book in Icelandic. The subsequent explosive growth in membership results in a change in public opinion regarding alcoholism and the establishment of new treatment centers.

JUNAAB created in Brazil
While records show A.A. meetings were held in Brazil as early as 1947, the country’s first General Service Board — Junta Nacional de Alcoólicos Anônimos, or JUNAAB, is created in February 1976.

Third edition of Big Book published in 1976
Thirteen new stories appear in the Third Edition of Alcoholics Anonymous. By the summer of 1976, more than 1,450,000 copies of the Big Book’s first two editions had been distributed worldwide, and both a Braille edition and audio tapes have been released.

Membership tops a million
At the opening of the 26th annual meeting of the General Service Conference, held in New York in April 1976, new figures for the Fellowship’s worldwide reach are reported: an estimated 28,000 groups in 92 countries, with membership totaling more than 1,000,000.","['Membership tops a million\nAt the opening of the 26th annual meeting of the General Service Conference, held in New York in April 1976, new figures for the Fellowship’s worldwide reach are reported: an estimated 28,000 groups in 92 countries, with membership totaling more than 1,000,000.']","['Almost invariably they return eager to carry the A.A. message, leading to the 1976 publication of the Big Book in Icelandic.', 'JUNAAB created in Brazil\nWhile records show A.A. meetings were held in Brazil as early as 1947, the country’s first General Service Board — Junta Nacional de Alcoólicos Anônimos, or JUNAAB, is created in February 1976.', 'Third edition of Big Book published in 1976\nThirteen new stories appear in the Third Edition of Alcoholics Anonymous.', 'By the summer of 1976, more than 1,450,000 copies of the Big Book’s first two editions had been distributed worldwide, and both a Braille edition and audio tapes have been released.', 'Membership tops a million\nAt the opening of the 26th annual meeting of the General Service Conference, held in New York in April 1976, new figures for the Fellowship’s worldwide reach are reported: an estimated 28,000 groups in 92 countries, with membership totaling more than 1,000,000.']"
43,1977,"A younger Fellowship
An A.A. survey conducted in 1977 shows that over the previous three years the proportion of young members (those under 30) in the U.S. and Canada has jumped 50 percent and now accounts for almost 20 percent of North American membership. Surveys done by A.A. in Argentina, Colombia, El Salvador, Finland, France, Mexico, New Zealand, the United Kingdom, and West Germany yield similar results.

Early meetings in Cambodia
In the wake of the 1975 capture of the Cambodian capital of Phnom Penh by the Khmer Rouge, thousands of Cambodians fill refugee camps along the Thai border. In one camp a U.S. aid worker, whose brother is an A.A. member back in New York, recognizes that alcoholism affects many of the refugees, leading her to order and translate A.A. publications. Though up to 60 people attend daily gatherings based on A.A. principles, these meetings cease when the camp closes. Some 15 years later, A.A. reappears in Cambodia when a few members start a group in Phnom Penh. A.A. Australia responds to a request for sponsorship and also helps members to establish Khmer-speaking groups.","['Some 15 years later, A.A. reappears in Cambodia when a few members start a group in Phnom Penh.']","['A younger Fellowship\nAn A.A. survey conducted in 1977 shows that over the previous three years the proportion of young members (those under 30) in the U.S. and Canada has jumped 50 percent and now accounts for almost 20 percent of North American membership.', 'In one camp a U.S. aid worker, whose brother is an A.A. member back in New York, recognizes that alcoholism affects many of the refugees, leading her to order and translate A.A. publications.', 'Though up to 60 people attend daily gatherings based on A.A. principles, these meetings cease when the camp closes.', 'Some 15 years later, A.A. reappears in Cambodia when a few members start a group in Phnom Penh.', 'A.A. Australia responds to a request for sponsorship and also helps members to establish Khmer-speaking groups.']"
44,1978,"A milestone for the AA Grapevine
With the March 1978 issue, the circulation of the Fellowship’s “meeting in print” reaches 100,000. In June 1944, copies of the periodical’s first edition had numbered 1,200 and had gone out to 165 subscribers and other members of A.A.

The first zonal meeting
Born of an idea brought forward at the 1978 World Service Meeting, the first zonal service meeting — during which countries share experiences, strengthen unity, and offer help to A.A.s where service structures have yet to be set up — takes place in Bogota, Colombia in 1979. Delegates from ten Latin American countries convene in what is called the Ibero-American Service Meeting. Later, this biannual meeting will be called REDELA, a shortened form of Réunion de Las Americas (Meeting of the Americas). Zonal meetings will be launched in Europe in 1981, Asia/Oceania in 1995, and Sub-Saharan Africa in 2003.","['The first zonal meeting\nBorn of an idea brought forward at the 1978 World Service Meeting, the first zonal service meeting — during which countries share experiences, strengthen unity, and offer help to A.A.s where service structures have yet to be set up — takes place in Bogota, Colombia in 1979.']","['A milestone for the AA Grapevine\nWith the March 1978 issue, the circulation of the Fellowship’s “meeting in print” reaches 100,000.', 'The first zonal meeting\nBorn of an idea brought forward at the 1978 World Service Meeting, the first zonal service meeting — during which countries share experiences, strengthen unity, and offer help to A.A.s where service structures have yet to be set up — takes place in Bogota, Colombia in 1979.', 'Delegates from ten Latin American countries convene in what is called the Ibero-American Service Meeting.', 'Later, this biannual meeting will be called REDELA, a shortened form of Réunion de Las Americas (Meeting of the Americas).', 'Zonal meetings will be launched in Europe in 1981, Asia/Oceania in 1995, and Sub-Saharan Africa in 2003.']"
45,1979,"A.A.’s first public information film
In the fall of 1979, the first public information film produced by the Fellowship — the 28-minute ""Alcoholics Anonymous: An Inside View"" — is released to A.A. service entities in the U.S. and Canada, enabling groups to provide it to television stations for airing. A panoramic view of sober living in A.A., the film shows a cross section of members in various settings—at work, at home, and at A.A. get-togethers and meetings.

Groups for the deaf
By the spring of 1979, G.S.O. New York has listed seven A.A. groups for people who are deaf. Also listed is an international deaf group whose members communicate by mail. Box 4-5-9 reports that the use of non-A.A. interpreters, when necessary, “gives rise to the confidentiality question,” but experience has shown that goodwill on both sides usually puts the issue to rest.","['A.A.’s first public information film\nIn the fall of 1979, the first public information film produced by the Fellowship — the 28-minute ""Alcoholics Anonymous: An Inside View"" — is released to A.A. service entities in the U.S. and Canada, enabling groups to provide it to television stations for airing.']","['A.A.’s first public information film\nIn the fall of 1979, the first public information film produced by the Fellowship — the 28-minute ""Alcoholics Anonymous: An Inside View"" — is released to A.A. service entities in the U.S. and Canada, enabling groups to provide it to television stations for airing.', 'A panoramic view of sober living in A.A., the film shows a cross section of members in various settings—at work, at home, and at A.A. get-togethers and meetings.', 'Groups for the deaf\nBy the spring of 1979, G.S.O. New York has listed seven A.A. groups for people who are deaf.', 'Also listed is an international deaf group whose members communicate by mail.']"
46,1980,"Celebrating New Orleans-style
In New Orleans, the sounds of jazz welcome some 22,500 paid attendees as they arrive at the Superdome on July 3, 1980 — the first evening of the 45th Anniversary International Convention. A procession of nations, with A.A. members from around the globe carrying their national flags, is the prelude to two days of workshops, a three-day alkathon (round-the-clock meeting) at the Marriott Hotel, and the appearance at the Sunday morning Spiritual Meeting of Lois W. and “Smitty,” the son of the late Dr. Bob.

A biography of Dr. Bob
A biography of A.A. co-founder Dr. Bob, titled Dr. Bob and the Good Oldtimers, is published in time for the International Convention in New Orleans in 1980. The 382-page book combines Dr. Bob’s life story with recollections of A.A.’s exhilarating and tumultuous early days in Akron and the Midwest.","['A biography of Dr. Bob\nA biography of A.A. co-founder Dr. Bob, titled Dr. Bob and the Good Oldtimers, is published in time for the International Convention in New Orleans in 1980.']","['Celebrating New Orleans-style\nIn New Orleans, the sounds of jazz welcome some 22,500 paid attendees as they arrive at the Superdome on July 3, 1980 — the first evening of the 45th Anniversary International Convention.', 'A procession of nations, with A.A. members from around the globe carrying their national flags, is the prelude to two days of workshops, a three-day alkathon (round-the-clock meeting) at the Marriott Hotel, and the appearance at the Sunday morning Spiritual Meeting of Lois W. and “Smitty,” the son of the late Dr. Bob.', 'A biography of Dr. Bob\nA biography of A.A. co-founder Dr. Bob, titled Dr. Bob and the Good Oldtimers, is published in time for the International Convention in New Orleans in 1980.', 'The 382-page book combines Dr. Bob’s life story with recollections of A.A.’s exhilarating and tumultuous early days in Akron and the Midwest.']"
47,1983,"Milestones in Malta
In Malta in 1983, the first translations of basic A.A. literature are approved and a Maltese-born member of A.A. Malta attends the bi-annual European Service Meeting for the first time. Seventeen years prior, in 1966, an Irish veterinary surgeon living in suburban Valletta had listed the Malta Group — originally English-speaking, and later known as the International Group — with G.S.O. New York. In 1981, its Maltese members founded a Maltese Group in the Valleta suburb of Floriana. Another significant event takes place in the next year, when Maltese women start attending meetings, making it easier for A.A. Malta to reach out to women struggling with alcoholism. Two other milestones will be reached in 1986: the opening of a General Service Committee and founding of a group on Gozo, Malta’s sister isle.","['Two other milestones will be reached in 1986: the opening of a General Service Committee and founding of a group on Gozo, Malta’s sister isle.']","['Milestones in Malta\nIn Malta in 1983, the first translations of basic A.A. literature are approved and a Maltese-born member of A.A. Malta attends the bi-annual European Service Meeting for the first time.', 'Seventeen years prior, in 1966, an Irish veterinary surgeon living in suburban Valletta had listed the Malta Group — originally English-speaking, and later known as the International Group — with G.S.O. New York.', 'In 1981, its Maltese members founded a Maltese Group in the Valleta suburb of Floriana.', 'Another significant event takes place in the next year, when Maltese women start attending meetings, making it easier for A.A. Malta to reach out to women struggling with alcoholism.', 'Two other milestones will be reached in 1986: the opening of a General Service Committee and founding of a group on Gozo, Malta’s sister isle.']"
48,1984,"The Spanish Services Desk
A full-time Spanish Services staff position at G.S.O. New York is created in 1984. The assigned staff member helps handle all correspondence in Spanish, translates pamphlets and bulletins, develops new service materials, and performs other services as needed. The drawing at right was sent to the G.S.O. Spanish Service Desk by Berny, a Costa Rican member of A.A. “Hello!,” it reads. “My name is The Happy Tico, I'm an alcoholic.”

“Pass It On” published
After five years of preparation, in 1984 A.A. World Services publishes ""Pass It On"": The Story of Bill W. and How the A.A. Message Reached the World. In 25 chapters the book recounts “the dramatic story of the founding of Alcoholics Anonymous, its early struggles and amazing growth.” One of the illustrations shows a newspaper report of an early Oxford Group meeting in Akron (right).","['The drawing at right was sent to the G.S.O. Spanish Service Desk by Berny, a Costa Rican member of A.A. “Hello!']","['The Spanish Services Desk\nA full-time Spanish Services staff position at G.S.O. New York is created in 1984.', 'The assigned staff member helps handle all correspondence in Spanish, translates pamphlets and bulletins, develops new service materials, and performs other services as needed.', 'The drawing at right was sent to the G.S.O. Spanish Service Desk by Berny, a Costa Rican member of A.A. “Hello!', '“Pass It On” published\nAfter five years of preparation, in 1984 A.A. World Services publishes ""Pass It On"": The Story of Bill W. and How the A.A. Message Reached the World.', 'In 25 chapters the book recounts “the dramatic story of the founding of Alcoholics Anonymous, its early struggles and amazing growth.”']"
49,1985,"Joining the fold...
Fortuitously for A.A., two world-changing events coincide as the 20th Century draws to a close. The dawn of the Electronic Age facilitates communication between A.A. offices and, in turn, country-to-country sponsorship, while the transformation of governments in Eastern European countries allows A.A.s to meet openly.

A.A.'s golden anniversary
The Fellowship's 50th Anniversary International Convention in Montreal in 1985 draws more than 45,000 members of A.A., Al-Anon, and family and friends — more than twice the attendance of the record-setting 1980 convention in New Orleans. Delegates from 54 nations give the gathering a truly international feel, and meetings in the Olympic Park Stadium are simultaneously translated into French, Spanish, and German. One of the honored guests is Ruth Hock Crecelius (a nonalcoholic), who is presented with the five millionth copy of the Big Book, the original manuscript of which she had typed almost half a century earlier when she was Bill W.'s secretary at their small office in Newark, New Jersey.

Dr. Bob's house opens in Akron
The Akron house where Dr. Bob and his wife lived and raised their children — 855 Ardmore Avenue — is opened to visitors in 1985. Much of the furniture is original (as is the still-working refrigerator, which Dr. Bob and Anne bought in 1934), and many of Dr. Bob and Anne's books line the shelves.","[""Much of the furniture is original (as is the still-working refrigerator, which Dr. Bob and Anne bought in 1934), and many of Dr. Bob and Anne's books line the shelves.""]","['Joining the fold...\nFortuitously for A.A., two world-changing events coincide as the 20th Century draws to a close.', 'The dawn of the Electronic Age facilitates communication between A.A. offices and, in turn, country-to-country sponsorship, while the transformation of governments in Eastern European countries allows A.A.s to meet openly.', ""A.A.'s golden anniversary\nThe Fellowship's 50th Anniversary International Convention in Montreal in 1985 draws more than 45,000 members of A.A., Al-Anon, and family and friends — more than twice the attendance of the record-setting 1980 convention in New Orleans."", ""One of the honored guests is Ruth Hock Crecelius (a nonalcoholic), who is presented with the five millionth copy of the Big Book, the original manuscript of which she had typed almost half a century earlier when she was Bill W.'s secretary at their small office in Newark, New Jersey."", ""Much of the furniture is original (as is the still-working refrigerator, which Dr. Bob and Anne bought in 1934), and many of Dr. Bob and Anne's books line the shelves.""]"
50,1986,"First paperback Big Book
In November 1986, for the first time, the Big Book, Alcoholics Anonymous, is published as a paperback. The softcover book makes it easier for A.A. members to carry the message into correctional facilities, where hardcover books are often not permitted.

WSM revisits Latin America
Delegates from 25 countries with an A.A. service structure or office gather in Guatemala City, Guatemala, for the Ninth World Service Meeting (WSM). The 1986 meeting marks the fourth time the WSM has been held outside of New York, and the second in Latin America. Previous WSM hosts were England, Finland, and Mexico.

Growth of electronic meetings
As the Fellowship expands rapidly around the world, some A.A. members turn to their personal computers to give and receive the message of recovery. Since the mid-1980s, electronic communication has been an updated and expanded version of the “telephone therapy” of A.A.'s earlier days. Primitive electronic Bulletin boards set up on home computers are linked through national and international networks, enabling local users to join instant “meetings” with A.A.s all over the world. A number of international networks are listed with G.S.O. New York.","['Growth of electronic meetings\nAs the Fellowship expands rapidly around the world, some A.A. members turn to their personal computers to give and receive the message of recovery.']","['The softcover book makes it easier for A.A. members to carry the message into correctional facilities, where hardcover books are often not permitted.', 'WSM revisits Latin America\nDelegates from 25 countries with an A.A. service structure or office gather in Guatemala City, Guatemala, for the Ninth World Service Meeting (WSM).', 'The 1986 meeting marks the fourth time the WSM has been held outside of New York, and the second in Latin America.', 'Growth of electronic meetings\nAs the Fellowship expands rapidly around the world, some A.A. members turn to their personal computers to give and receive the message of recovery.', 'Primitive electronic Bulletin boards set up on home computers are linked through national and international networks, enabling local users to join instant “meetings” with A.A.s all over the world.']"
51,1987,"India’s first G.S.O. conference
A.A. India holds its first General Service Office conference in Bombay (now Mumbai) in May 1987. By the year 2000, more than 20 conferences and P.I. (Public Information) meetings will have been held in different parts of India, and the country's G.S.O. will have published the Big Book in eight languages: English, Hindi, Marathi, Tamil, Malayalam, Kannada, Punjabi, and Bengali. In the Delhi meeting room shown to the right hang banners printed with the Twelve Traditions —one in Hindi, the other in English.","['In the Delhi meeting room shown to the right hang banners printed with the Twelve Traditions —one in Hindi, the other in English.']","['India’s first G.S.O. conference\nA.A. India holds its first General Service Office conference in Bombay (now Mumbai) in May 1987.', ""By the year 2000, more than 20 conferences and P.I. (Public Information) meetings will have been held in different parts of India, and the country's G.S.O. will have published the Big Book in eight languages: English, Hindi, Marathi, Tamil, Malayalam, Kannada, Punjabi, and Bengali."", 'In the Delhi meeting room shown to the right hang banners printed with the Twelve Traditions —one in Hindi, the other in English.']"
52,1988,"Baltic State start-ups
June 1988 sees the founding of Lithuania's earliest known group, which meets in the Vilnius apartment of Romas O. Romas had set foot on the road to sobriety when he read a Lithuanian translation of the Big Book in the fall of 1987. In late 1988, Romas and fellow group members visit Riga, Latvia, and correspond regularly with that city's first group, founded by Pëteris and Austris in November 1988. A.A.s will begin meeting in neighboring Estonia in 1989, in Tallinn.

The Language of the Heart published in 1988
An anthology of more than 150 AA Grapevine articles written by Bill W., The Language of the Heart, documents the trial and error that resulted in A.A.'s spiritual principles of Recovery, Unity, and Service and articulates Bill's vision of what the Fellowship could become. For more than three decades Bill had often used the magazine as a vehicle for communication with members and groups.",['For more than three decades Bill had often used the magazine as a vehicle for communication with members and groups.'],"[""Baltic State start-ups\nJune 1988 sees the founding of Lithuania's earliest known group, which meets in the Vilnius apartment of Romas O. Romas had set foot on the road to sobriety when he read a Lithuanian translation of the Big Book in the fall of 1987."", ""In late 1988, Romas and fellow group members visit Riga, Latvia, and correspond regularly with that city's first group, founded by Pëteris and Austris in November 1988."", ""The Language of the Heart published in 1988\nAn anthology of more than 150 AA Grapevine articles written by Bill W., The Language of the Heart, documents the trial and error that resulted in A.A.'s spiritual principles of Recovery, Unity, and Service and articulates Bill's vision of what the Fellowship could become."", 'For more than three decades Bill had often used the magazine as a vehicle for communication with members and groups.']"
53,1989,"U.S.-Russia exchange bears fruit
By 1989, three A.A. groups are meeting in Russia — one in Moscow and two in Leningrad. The growth of A.A. in Russia had begun in 1986-1987, through exchange visits between Alcoholics Anonymous members and representatives of Russia's Temperance Promotion Society. Independent groups such as San Francisco's ""Creating a Sober World"" organization were also instrumental in bringing A.A. to Russia. Growth in Russia proceeds at a rapid pace, expanding to at least 270 groups meeting in more than 100 cities by the beginning of the 21st century.

The Big Book at 50
The golden anniversary of the publication of Alcoholics Anonymous is marked at the A.A. General Service Conference held in April 1989. The “birthday cake” baked for the occasion (right) sports replicas of the covers of the First and Third Editions of the book, of which more than eight million copies have been sold or distributed by 1989.

A first for Turkey
The first nationwide A.A. Conference in Turkey is held at a hotel in Kizil Eahaman, nestled in the pine-covered mountains 100 kilometers outside the capital, Ankara. Twenty-four delegates from groups in Ankara, Istanbul, Izmir, and Adana communicate in both Turkish and English during three days of meetings and activities. Johanna S., of the Ankara International Group, reports to The A.A. Grapevine that the event was “a gathering of active, intense, happy, recovering alcoholics who met, dined, walked, and enjoyed each other's company. We touched each other's lives.” The sketch to the right accompanied an account of the event in The A.A. Grapevine.","[""Johanna S., of the Ankara International Group, reports to The A.A. Grapevine that the event was “a gathering of active, intense, happy, recovering alcoholics who met, dined, walked, and enjoyed each other's company.""]","['U.S.-Russia exchange bears fruit\nBy 1989, three A.A. groups are meeting in Russia — one in Moscow and two in Leningrad.', ""The growth of A.A. in Russia had begun in 1986-1987, through exchange visits between Alcoholics Anonymous members and representatives of Russia's Temperance Promotion Society."", 'Independent groups such as San Francisco\'s ""Creating a Sober World"" organization were also instrumental in bringing A.A. to Russia.', 'A first for Turkey\nThe first nationwide A.A. Conference in Turkey is held at a hotel in Kizil Eahaman, nestled in the pine-covered mountains 100 kilometers outside the capital, Ankara.', ""Johanna S., of the Ankara International Group, reports to The A.A. Grapevine that the event was “a gathering of active, intense, happy, recovering alcoholics who met, dined, walked, and enjoyed each other's company.""]"
54,1990,"A meeting in Minsk
In November 1990, a few dozen A.A.s from Latvia, Lithuania, and Ukraine gather with their counterparts in Minsk, Belorussia (now the Republic of Belarus) to coordinate the services in their respective countries. In April 1991, a second conference will be held in Riga, Latvia, attracting 180 A.A.s from the same four countries plus Russia.

Bursting at the seams in Seattle
Some 48,000 people converge in Seattle for the Fellowship's Ninth International Convention in 1990, far exceeding the anticipated head count. The theme is “Fifty-five Years — One Day at a Time.” More than 250 standing-room-only meetings are held at Seattle Center and around town — at the time, the largest convention ever hosted in Washington's largest city. Nell Wing, Bill W.'s longtime secretary and first archivist for G.S.O. New York, was presented with the Ten Millionth copy of A.A.'s Big Book, Alcoholics Anonymous, at a special ceremony.","[""More than 250 standing-room-only meetings are held at Seattle Center and around town — at the time, the largest convention ever hosted in Washington's largest city.""]","['A meeting in Minsk\nIn November 1990, a few dozen A.A.s from Latvia, Lithuania, and Ukraine gather with their counterparts in Minsk, Belorussia (now the Republic of Belarus) to coordinate the services in their respective countries.', 'In April 1991, a second conference will be held in Riga, Latvia, attracting 180 A.A.s from the same four countries plus Russia.', ""Bursting at the seams in Seattle\nSome 48,000 people converge in Seattle for the Fellowship's Ninth International Convention in 1990, far exceeding the anticipated head count."", 'The theme is “Fifty-five Years — One Day at a Time.”', ""More than 250 standing-room-only meetings are held at Seattle Center and around town — at the time, the largest convention ever hosted in Washington's largest city.""]"
